category,topic,question,answer,keywords,priority
faq_general,"Definisi Hipnoterapi","Apa itu hipnoterapi di Albashiro?","Hipnoterapi di Albashiro adalah metode terapi yang menggabungkan teknik relaksasi mendalam (trance) dengan nilai-nilai spiritual Islam. Berbeda dengan hipnosis panggung, di sini Anda memegang kendali penuh. Kami membantu Anda mengakses pikiran bawah sadar untuk mengubah pola pikir negatif, trauma, atau kebiasaan buruk, sambil tetap berlandaskan pada tauhid dan ketergantungan kepada Allah SWT.","definisi,apa itu,pengertian,intro",10
faq_general,"Keamanan","Apakah hipnoterapi aman? Ada efek sampingnya?","Sangat aman. Hipnoterapi adalah kondisi alami manusia, mirip seperti saat Anda melamun atau terlalu asyik membaca buku. Tidak ada efek samping berbahaya seperti 'tidak bisa bangun' atau 'hilang ingatan'. Di Albashiro, kami memastikan semua sugesti bersifat positif, memberdayakan, dan sesuai syariat. Efek samping yang paling umum hanyalah rasa kantuk yang nyaman dan perasaan rileks yang mendalam setelah sesi.","aman,bahaya,efek samping,safety",10
faq_general,"Durasi Sesi","Berapa lama satu sesi terapi berlangsung?","Satu sesi standar di Albashiro berlangsung antara 90 hingga 120 menit. Durasi ini mencakup: (1) Konsultasi awal/Anamnesis (30 menit) untuk membedah masalah, (2) Proses terapi/Induksi & Sugesti (45-60 menit), dan (3) Debriefing/Terminasi (15 menit). Untuk anak-anak, durasi mungkin lebih pendek (60-90 menit) tergantung tingkat fokus mereka. Kami tidak memburu-buru proses demi hasil maksimal.","durasi,waktu,lama sesi,jam",8
faq_general,"Perbandingan Psikolog","Apa bedanya sama ke Psikolog atau Psikiater?","Psikolog biasanya menggunakan konseling sadar (talk therapy) untuk membedah masalah kognitif. Psikiater adalah dokter medis yang bisa meresepkan obat untuk ketidakseimbangan kimiawi otak. Hipnoterapi Albashiro bekerja langsung ke 'akar' di pikiran bawah sadar (subconscious) tempat emosi dan memori disimpan. Kami sering menjadi pelengkap; jika Anda sudah ke psikolog tapi merasa 'mentok' karena trauma yang terlalu dalam, hipnoterapi bisa menjangkau area yang sulit disentuh logika sadar.","beda,psikolog,psikiater,dokter",8
conditions,"Generalized Anxiety (GAD)","Saya sering cemas tanpa sebab jelas, bisa bantu?","Bisa, itu tanda Generalized Anxiety Disorder (GAD). Di Albashiro, kami menggunakan teknik 'Regression to Cause' untuk mencari akar pemicu kecemasan pertama kali (mungkin di masa kecil). Kami kemudian melakukan 'Emotional Release' untuk membuang beban emosi tersebut dan menggantinya dengan anchoring ketenangan. 85% klien melaporkan penurunan kecemasan signifikan setelah 4 sesi.","cemas,anxiety,gad,khawatir",9
conditions,"Panic Attack","Gimana ngatasin serangan panik yang tiba-tiba?","Panic attack terjadi karena 'sistem alarm' otak terlalu sensitif. Terapi kami mengajarkan teknik 'Switch Pattern' dan 'Anchor' di mana Anda bisa memicu rasa tenang instan saat serangan mau datang. Kami juga melatih pernapasan diafragma yang dikombinasikan dengan Dzikir (seperti 'Hasbunallah') untuk menstabilkan detak jantung. Tujuan akhirnya adalah memberitahu bawah sadar bahwa Anda aman.","panik,sesak,jantung berdebar,panic attack",9
conditions,"Phobia: Cynophobia","Anak saya takut banget sama kucing, sampai histeris.","Cynophobia (takut kucing) sangat bisa disembuhkan. Kami menggunakan metode desensitisasi sistematis dalam kondisi trance. Anak akan diajak membayangkan kucing dari jarak jauh dalam suasana aman, perlahan mendekat, hingga berinteraksi, sambil mempertahankan rasa rileks. Kami sering menggabungkan ini dengan cerita metafora tentang kucing kesayangan Nabi untuk mengubah persepsi menakutkan menjadi kasih sayang. Biasanya butuh 2-3 sesi saja.","takut kucing,cynophobia,fobia hewan,anak",8
conditions,"Phobia: Acrophobia","Saya gak berani naik pesawat atau tempat tinggi.","Acrophobia seringkali berhubungan dengan rasa 'hilang kendali'. Dalam terapi, kami melakukan simulasi mental naik pesawat/tempat tinggi sambil memberikan sugesti relaksasi otot. Kami menanamkan 'Safety Anchor', sebuah pemicu fisik (misal menyentuh jempol dan telunjuk) yang otomatis membuat tubuh rileks saat ketinggian mulai terasa. Success rate untuk fobia spesifik seperti ini mencapai 90%.","takut tinggi,pesawat,acrophobia,terbang",8
conditions,"Depresi Ringan","Rasanya hampa dan sedih terus, apakah ini depresi?","Perasaan hampa berkepanjangan bisa jadi tanda depresi ringan hingga sedang. Hipnoterapi membantu dengan memutus siklus pikiran negatif (ruminasi). Kami mengajak Anda berdialog dengan 'bagian diri' yang merasa sedih (Parts Therapy) untuk memahami pesan di baliknya, bukan melawannya. Dikombinasikan dengan terapi syukur dan dzikir, kami membantu menyalakan kembali harapan. *Catatan: Untuk depresi berat dengan risiko bunuh diri, kami mewajibkan pendampingan psikiater.*","sedih,depresi,hampa,bad mood",9
conditions,"Trauma Masa Kecil","Saya punya trauma dipukul orang tua waktu kecil.","Inner Child Healing adalah spesialisasi kami. Kami akan memandu Anda (dalam kondisi dewasa saat ini) untuk menemui 'diri kecil' Anda di dalam pikiran yang masih menyimpan rasa sakit itu. Anda akan memberikan perlindungan, kasih sayang, dan pemahaman yang dulu tidak didapatkan. Proses ini sangat emosional tapi sangat melegakan. Luka masa lalu tidak dihapus memorinya, tapi muatan emosi sakitnya dinetralkan sepenuhnya.","trauma,pukul,kekerasan,inner child",10
