TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-26 06:25:58,1766730358073,albashiro.vercel.app/chat/send,POST,url=chat%2Fsend,200,fpc7v-1766730345695-6d9c6bb2a826,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index,albashiro.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,,,,,"🐘 Accessing albashiro.vercel.app/chat/send?url=chat%2Fsend
🐘 Querying /chat/send?url=chat%2Fsend
🐘STDERR: [Fri Dec 26 06:25:45 2025] 127.0.0.1:34004 Accepted

🐘STDERR: [Fri Dec 26 06:25:45 2025] === APP ROUTING DEBUG ===
[Fri Dec 26 06:25:45 2025] Parsed URL: Array
(
    [0] => chat
    [1] => send
)

[Fri Dec 26 06:25:45 2025] Route: chat

🐘STDERR: [Fri Dec 26 06:25:45 2025] GET params: Array
(
    [url] => chat/send
)

[Fri Dec 26 06:25:45 2025] REQUEST_URI: /chat/send?url=chat%2Fsend
[Fri Dec 26 06:25:45 2025] ========================

🐘STDERR: [Fri Dec 26 06:25:46 2025] DEBUG getServicesInfo: PDO connection obtained

🐘STDERR: [Fri Dec 26 06:25:46 2025] ERROR getServicesInfo: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'is_active' in 'where clause'
[Fri Dec 26 06:25:46 2025] ERROR Stack trace: #0 /var/task/user/app/services/GeminiService.php(322): PDO->query('SELECT name, de...')
#1 /var/task/user/app/services/GeminiService.php(211): GeminiService->getServicesInfo()
#2 /var/task/user/app/services/GeminiService.php(37): GeminiService->buildSystemContext('berapa harga pa...')
#3 /var/task/user/app/controllers/Chat.php(128): GeminiService->chat('berapa harga pa...', Array)
#4 /var/task/user/core/App.php(90): Chat->send()
#5 /var/task/user/index.php(20): App->__construct()
#6 /var/task/user/api/index.php(3): require('/var/task/user/...')
#7 {main}

🐘STDERR: [Fri Dec 26 06:25:47 2025] ERROR getTherapistsInfo: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'specialization' in 'field list'

🐘STDERR: [Fri Dec 26 06:25:57 2025] 127.0.0.1:34004 Closing
",prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,
2025-12-26 06:25:45,1766730345695,albashiro.vercel.app/chat/send,POST,url=chat%2Fsend,200,fpc7v-1766730345695-6d9c6bb2a826,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/index,albashiro.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,12136,iad1,149,2048,,prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,-1
2025-12-26 06:25:41,1766730341136,albashiro.vercel.app/chat/welcome,GET,url=chat%2Fwelcome,200,qqgd2-1766730339976-227633d9d68f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index,albashiro.vercel.app,albashiro.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,,,,,"🐘 Accessing albashiro.vercel.app/chat/welcome?url=chat%2Fwelcome
🐘 Querying /chat/welcome?url=chat%2Fwelcome
🐘STDERR: [Fri Dec 26 06:25:40 2025] 127.0.0.1:33994 Accepted

🐘STDERR: [Fri Dec 26 06:25:40 2025] === APP ROUTING DEBUG ===
[Fri Dec 26 06:25:40 2025] Parsed URL: Array
(
    [0] => chat
    [1] => welcome
)

[Fri Dec 26 06:25:40 2025] Route: chat
[Fri Dec 26 06:25:40 2025] GET params: Array
(
    [url] => chat/welcome
)

[Fri Dec 26 06:25:40 2025] REQUEST_URI: /chat/welcome?url=chat%2Fwelcome
[Fri Dec 26 06:25:40 2025] ========================

🐘STDERR: [Fri Dec 26 06:25:41 2025] 127.0.0.1:33994 Closing
",prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,
2025-12-26 06:25:39,1766730339976,albashiro.vercel.app/chat/welcome,GET,url=chat%2Fwelcome,200,qqgd2-1766730339976-227633d9d68f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/index,albashiro.vercel.app,albashiro.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,917,iad1,149,2048,,prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,-1
2025-12-26 06:25:36,1766730336228,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/,GET,url=,200,5vbfp-1766730333643-993ff9b17d91,vercel-favicon/1.0,info,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,,,,,"🐘 Accessing albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/?url=
🐘 Querying /?url=
🐘STDERR: [Fri Dec 26 06:25:33 2025] 127.0.0.1:40924 Accepted

🐘STDERR: [Fri Dec 26 06:25:33 2025] === APP ROUTING DEBUG ===
[Fri Dec 26 06:25:33 2025] Parsed URL: Array
(
    [0] => 
)

[Fri Dec 26 06:25:33 2025] Route: 
[Fri Dec 26 06:25:33 2025] GET params: Array
(
    [url] => 
)

[Fri Dec 26 06:25:33 2025] REQUEST_URI: /?url=

🐘STDERR: [Fri Dec 26 06:25:33 2025] ========================

🐘STDERR: [Fri Dec 26 06:25:36 2025] 127.0.0.1:40924 Closing
",prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,
2025-12-26 06:25:33,1766730333643,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/,GET,url=,200,5vbfp-1766730333643-993ff9b17d91,vercel-favicon/1.0,,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,2498,iad1,149,2048,,prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,-1
2025-12-26 06:25:32,1766730332823,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/favicon.png,GET,url=favicon.png,200,4sf4k-1766730330348-bc935190a994,vercel-favicon/1.0,info,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,,,,,"🐘 Accessing albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/favicon.png?url=favicon.png
🐘 Querying /favicon.png?url=favicon.png
🐘STDERR: [Fri Dec 26 06:25:30 2025] 127.0.0.1:51782 Accepted

🐘STDERR: [Fri Dec 26 06:25:30 2025] === APP ROUTING DEBUG ===
[Fri Dec 26 06:25:30 2025] Parsed URL: Array
(
    [0] => favicon.png
)

[Fri Dec 26 06:25:30 2025] Route: favicon.png
[Fri Dec 26 06:25:30 2025] GET params: Array
(
    [url] => favicon.png
)

[Fri Dec 26 06:25:30 2025] REQUEST_URI: /favicon.png?url=favicon.png

🐘STDERR: [Fri Dec 26 06:25:30 2025] ========================

🐘STDERR: [Fri Dec 26 06:25:32 2025] 127.0.0.1:51782 Closing
",prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,
2025-12-26 06:25:30,1766730330348,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/favicon.png,GET,url=favicon.png,200,4sf4k-1766730330348-bc935190a994,vercel-favicon/1.0,,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,2381,iad1,149,2048,,prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,-1
2025-12-26 06:25:32,1766730332615,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/,GET,url=,200,7tlk7-1766730330147-97441a4bb529,vercel-favicon/1.0,info,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,,,,,"🐘 Accessing albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/?url=
🐘 Querying /?url=
🐘STDERR: [Fri Dec 26 06:25:30 2025] 127.0.0.1:58722 Accepted

🐘STDERR: [Fri Dec 26 06:25:30 2025] === APP ROUTING DEBUG ===
[Fri Dec 26 06:25:30 2025] Parsed URL: Array
(
    [0] => 
)

[Fri Dec 26 06:25:30 2025] Route: 
[Fri Dec 26 06:25:30 2025] GET params: Array
(
    [url] => 
)


🐘STDERR: [Fri Dec 26 06:25:30 2025] REQUEST_URI: /?url=
[Fri Dec 26 06:25:30 2025] ========================

🐘STDERR: [Fri Dec 26 06:25:32 2025] 127.0.0.1:58722 Closing
",prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,
2025-12-26 06:25:30,1766730330147,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app/,GET,url=,200,7tlk7-1766730330147-97441a4bb529,vercel-favicon/1.0,,production,main,MISS,serverless,/api/index,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,albashiro-9oi70ykp0-bapelhacker-7536s-projects.vercel.app,dpl_Djpw1U2951RgDMmFNd2iUse9xu1t,2371,iad1,148,2048,,prj_CgqpLhv0gD2GLhjCW0OoGq4Jraq9,,,,,-1
